# Generated by gen_sweep_list.py — read-only RM control commands.
# source table: tools/effectmap/out/ctrl_table.json
# admitted 327 of 2382
# format: <cmd_hex> <paramsSize>
0x2080018D 3812    # NV2080_CTRL_CMD_GPU_GET_PIDS
0x2080018E 14408    # NV2080_CTRL_CMD_GPU_GET_PID_INFO
0x20800195 260    # NV2080_CTRL_CMD_GPU_GET_COMPUTE_POLICY_CONFIG
0x20800196 16    # NV2080_CTRL_CMD_GPU_GET_GFID
0x2080019B 2608    # NV2080_CTRL_CMD_GPU_GET_ENGINE_LOAD_TIMES
0x2080019F 688    # NV2080_CTRL_CMD_GPU_GET_SKYLINE_INFO
0x208001A0 1672    # NV2080_CTRL_CMD_GET_P2P_CAPS
0x208001A2 168    # NV2080_CTRL_CMD_GPU_GET_COMPUTE_PROFILES
0x208001A3 56    # NV2080_CTRL_CMD_GET_GPU_FABRIC_PROBE_INFO
0x208001A4 16    # NV2080_CTRL_CMD_GPU_GET_CHIP_DETAILS
0x208001B0 1284    # NV2080_CTRL_CMD_GPU_GET_CONSTRUCTED_FALCON_INFO
0x208001B1 16    # NV2080_CTRL_CMD_GPU_GET_VF_CAPS
0x208001E5 152    # NV2080_CTRL_CMD_GPU_GET_COMPUTE_PROFILE_CAPACITY
0x208001E6 4    # NV2080_CTRL_CMD_GPU_GET_FIRST_ASYNC_CE_IDX
0x208001E9 24    # NV2080_CTRL_CMD_GPU_RPC_GSP_QUERY_SIZES
0x208001EA 4    # NV2080_CTRL_CMD_RUSD_GET_SUPPORTED_FEATURES
0x208001F1 4    # NV2080_CTRL_CMD_GPU_GET_DEFAULT_TIMEOUT
0x20800403 8    # NV2080_CTRL_CMD_TIMER_GET_TIME
0x20800404 4    # NV2080_CTRL_CMD_TIMER_GET_REGISTER_OFFSET
0x20800406 264    # NV2080_CTRL_CMD_TIMER_GET_GPU_CPU_TIME_CORRELATION_INFO
0x20800601 532    # NV2080_CTRL_CMD_I2C_READ_BUFFER
0x20800603 276    # NV2080_CTRL_CMD_I2C_READ_REG
0x20800802 1    # NV2080_CTRL_CMD_BIOS_GET_INFO
0x20800803 1064    # NV2080_CTRL_CMD_BIOS_GET_NBSI
0x20800806 40    # NV2080_CTRL_CMD_BIOS_GET_NBSI_OBJ
0x20800808 48    # NV2080_CTRL_CMD_BIOS_GET_SKU_INFO
0x20800809 8    # NV2080_CTRL_CMD_BIOS_GET_POST_TIME
0x2080080B 8    # NV2080_CTRL_CMD_BIOS_GET_UEFI_SUPPORT
0x2080080E 1308    # NV2080_CTRL_CMD_BIOS_GET_NBSI_V2
0x20800810 124    # NV2080_CTRL_CMD_BIOS_GET_INFO_V2
0x20800A28 1056    # NV2080_CTRL_CMD_KGR_GET_CTX_BUFFER_PTES
0x20801037 6024    # NV2080_CTRL_CMD_CLK_PMUMON_CLK_DOMAINS_GET_SAMPLES
0x20801108 8    # NV2080_CTRL_CMD_FIFO_GET_PHYSICAL_CHANNEL_COUNT
0x20801109 2056    # NV2080_CTRL_CMD_FIFO_GET_INFO
0x2080110C 112    # NV2080_CTRL_CMD_FIFO_GET_CHANNEL_MEM_INFO
0x2080110D 8    # NV2080_CTRL_CMD_FIFO_GET_USERD_LOCATION
0x2080110E 24024    # NV2080_CTRL_CMD_FIFO_OBJSCHED_SW_GET_LOG
0x20801112 3212    # NV2080_CTRL_CMD_FIFO_GET_DEVICE_INFO_TABLE
0x20801120 20    # NV2080_CTRL_CMD_FIFO_OBJSCHED_GET_STATE
0x20801122 44    # NV2080_CTRL_CMD_FIFO_OBJSCHED_GET_CAPS
0x20801123 1552    # NV2080_CTRL_CMD_FIFO_GET_CHANNEL_GROUP_UNIQUE_ID_INFO
0x20801124 1540    # NV2080_CTRL_CMD_FIFO_QUERY_CHANNEL_UNIQUE_ID
0x20801201 32    # NV2080_CTRL_CMD_GR_GET_INFO
0x20801206 40    # NV2080_CTRL_CMD_GR_GET_ZCULL_INFO
0x2080120F 4120    # NV2080_CTRL_CMD_GR_GET_SM_TO_GPC_TPC_MAPPINGS
0x20801213 12    # NV2080_CTRL_CMD_GR_GET_ROP_INFO
0x20801215 32    # NV2080_CTRL_CMD_GR_GET_CTXSW_STATS
0x20801218 16    # NV2080_CTRL_CMD_GR_GET_CTX_BUFFER_SIZE
0x20801219 5136    # NV2080_CTRL_CMD_GR_GET_CTX_BUFFER_INFO
0x2080121B 9240    # NV2080_CTRL_CMD_GR_GET_GLOBAL_SM_ORDER
0x2080121C 24    # NV2080_CTRL_CMD_GR_GET_CURRENT_RESIDENT_CHANNEL
0x2080121E 4    # NV2080_CTRL_CMD_GR_GET_ATTRIBUTE_BUFFER_SIZE
0x2080121F 40    # NV2080_CTRL_CMD_GR_GFX_POOL_QUERY_SIZE
0x20801227 48    # NV2080_CTRL_CMD_GR_GET_CAPS_V2
0x20801228 528    # NV2080_CTRL_CMD_GR_GET_INFO_V2
0x2080122A 24    # NV2080_CTRL_CMD_GR_GET_GPC_MASK
0x2080122B 24    # NV2080_CTRL_CMD_GR_GET_TPC_MASK
0x2080122D 32    # NV2080_CTRL_CMD_GR_GET_ENGINE_CONTEXT_PROPERTIES
0x20801230 32    # NV2080_CTRL_CMD_GR_GET_SM_ISSUE_RATE_MODIFIER
0x20801232 8    # NV2080_CTRL_CMD_GR_GET_PHYS_GPC_MASK
0x20801233 24    # NV2080_CTRL_CMD_GR_GET_PPC_MASK
0x20801234 8    # NV2080_CTRL_CMD_GR_GET_NUM_TPCS_FOR_GPC
0x20801235 24    # NV2080_CTRL_CMD_GR_GET_CTXSW_MODES
0x20801236 152    # NV2080_CTRL_CMD_GR_GET_GPC_TILE_MAP
0x20801237 8    # NV2080_CTRL_CMD_GR_GET_ZCULL_MASK
0x20801239 24    # NV2080_CTRL_CMD_GR_GET_GFX_GPC_AND_TPC_INFO
0x2080123B 24    # NV2080_CTRL_CMD_GR_GET_TPC_RECONFIG_MASK
0x2080123C 2044    # NV2080_CTRL_CMD_GR_GET_SM_ISSUE_RATE_MODIFIER_V2
0x2080123D 2044    # NV2080_CTRL_CMD_GR_GET_SM_ISSUE_THROTTLE_CTRL
0x20801301 1    # NV2080_CTRL_CMD_FB_GET_INFO
0x20801303 1028    # NV2080_CTRL_CMD_FB_GET_INFO_V2
0x20801310 16    # NV2080_CTRL_CMD_FB_GET_BAR1_OFFSET
0x20801315 16    # NV2080_CTRL_CMD_FB_GET_GPU_CACHE_INFO
0x20801320 904    # NV2080_CTRL_CMD_FB_GET_FB_REGION_INFO
0x20801322 2056    # NV2080_CTRL_CMD_FB_GET_OFFLINED_PAGES
0x20801328 20    # NV2080_CTRL_CMD_FB_GET_LTC_INFO_FOR_FBP
0x2080132A 4848    # NV2080_CTRL_CMD_FB_COMPBITCOPY_GET_COMPBITS
0x2080132A 4848    # NV2080_CTRL_CMD_GSP_FB_STATS_GET
0x2080132F 9728    # NV2080_CTRL_CMD_FB_STATS_GET
0x20801336 16    # NV2080_CTRL_CMD_FB_GET_AMAP_CONF
0x2080133C 264    # NV2080_CTRL_CMD_FB_GET_CLI_MANAGED_OFFLINED_PAGES
0x2080133D 56    # NV2080_CTRL_CMD_FB_GET_COMPBITCOPY_CONSTRUCT_INFO
0x20801342 56    # NV2080_CTRL_CMD_FB_GET_MEM_ALIGNMENT
0x20801344 6152    # NV2080_CTRL_CMD_FB_GET_REMAPPED_ROWS
0x20801346 3848    # NV2080_CTRL_CMD_FB_GET_FS_INFO
0x20801347 20    # NV2080_CTRL_CMD_FB_GET_ROW_REMAPPER_HISTOGRAM
0x20801348 1040    # NV2080_CTRL_CMD_FB_GET_DYNAMIC_OFFLINED_PAGES
0x20801351 544    # NV2080_CTRL_CMD_FB_GET_NUMA_INFO
0x20801352 32    # NV2080_CTRL_CMD_FB_GET_SEMAPHORE_SURFACE_LAYOUT
0x20801354 24    # NV2080_CTRL_CMD_FB_GET_STATIC_BAR1_INFO
0x20801355 4    # NV2080_CTRL_CMD_FB_QUERY_DRAM_ENCRYPTION_PENDING_CONFIGURATION
0x20801357 4    # NV2080_CTRL_CMD_FB_QUERY_DRAM_ENCRYPTION_INFOROM_SUPPORT
0x20801358 4    # NV2080_CTRL_CMD_FB_QUERY_DRAM_ENCRYPTION_STATUS
0x20801360 200    # NV2080_CTRL_CMD_FB_GET_CARVEOUT_REGION_INFO
0x20801361 8208    # NV2080_CTRL_CMD_FB_GET_REMAPPED_BANKS
0x20801362 48    # NV2080_CTRL_CMD_FB_GET_UGPU_MEMORY_INFO
0x20801363 16    # NV2080_CTRL_CMD_FB_GET_CPU_COHERENT_RANGE
0x20801364 40    # NV2080_CTRL_CMD_FB_GET_WPR_REGION_INFO
0x20801701 16    # NV2080_CTRL_CMD_MC_GET_ARCH_INFO
0x20801703 4    # NV2080_CTRL_CMD_MC_GET_MANUFACTURER
0x2080170D 2052    # NV2080_CTRL_CMD_MC_GET_ENGINE_NOTIFICATION_INTR_VECTORS
0x2080170E 516    # NV2080_CTRL_CMD_MC_GET_STATIC_INTR_TABLE
0x2080170F 56    # NV2080_CTRL_CMD_MC_GET_INTR_CATEGORY_SUBTREE_MAP
0x20801801 16    # NV2080_CTRL_CMD_BUS_GET_PCI_INFO
0x20801802 1    # NV2080_CTRL_CMD_BUS_GET_INFO
0x20801803 200    # NV2080_CTRL_CMD_BUS_GET_PCI_BAR_INFO
0x20801813 76    # NV2080_CTRL_CMD_BUS_GET_PEX_COUNTERS
0x20801816 18    # NV2080_CTRL_CMD_BUS_GET_PEX_LANE_COUNTERS
0x20801817 12    # NV2080_CTRL_CMD_BUS_GET_PCIE_LTR_LATENCY
0x20801819 32    # NV2080_CTRL_CMD_BUS_GET_PEX_UTIL_COUNTERS
0x20801823 420    # NV2080_CTRL_CMD_BUS_GET_INFO_V2
0x20801825 128    # NV2080_CTRL_CMD_BUS_GET_NVLINK_PEER_ID_MASK
0x20801827 12    # NV2080_CTRL_CMD_BUS_GET_UPHY_DLN_CFG_SPACE
0x20801828 76    # NV2080_CTRL_CMD_BUS_GET_EOM_STATUS
0x20801829 12    # NV2080_CTRL_CMD_BUS_GET_PCIE_REQ_ATOMICS_CAPS
0x2080182A 112    # NV2080_CTRL_CMD_BUS_GET_PCIE_SUPPORTED_GPU_ATOMICS
0x2080182B 28    # NV2080_CTRL_CMD_BUS_GET_C2C_INFO
0x2080182D 168    # NV2080_CTRL_CMD_BUS_GET_C2C_ERR_INFO
0x20801830 4    # NV2080_CTRL_CMD_BUS_GET_PCIE_CPL_ATOMICS_CAPS
0x20801831 88    # NV2080_CTRL_CMD_BUS_GET_C2C_LPWR_STATS
0x20801837 56    # NV2080_CTRL_CMD_BUS_GET_C2C_PACKET_COUNTERS
0x2080200B 780    # NV2080_CTRL_CMD_PERF_GET_LEVEL_INFO_V2
0x20802068 4    # NV2080_CTRL_CMD_PERF_GET_CURRENT_PSTATE
0x20802069 8    # NV2080_CTRL_CMD_PERF_GET_TEGRA_PERFMON_SAMPLE
0x2080206E 12    # NV2080_CTRL_CMD_PERF_RATED_TDP_GET_CONTROL
0x20802087 12    # NV2080_CTRL_CMD_PERF_GET_VID_ENG_PERFMON_SAMPLE
0x20802096 55888    # NV2080_CTRL_CMD_PERF_GET_GPUMON_PERFMON_UTIL_SAMPLES_V2
0x20802212 8    # NV2080_CTRL_CMD_GET_RC_INFO
0x20802401 8    # NV2080_CTRL_CMD_NVD_GET_DUMP_SIZE
0x20802402 16    # NV2080_CTRL_CMD_NVD_GET_DUMP
0x20802409 15656    # NV2080_CTRL_CMD_NVD_GET_NOCAT_JOURNAL
0x20802503 2052    # NV2080_CTRL_CMD_DMA_GET_INFO
0x20802609 8    # NV2080_CTRL_CMD_PMGR_GET_MODULE_INFO
0x20802A01 16    # NV2080_CTRL_CMD_CE_GET_CAPS
0x20802A02 8    # NV2080_CTRL_CMD_CE_GET_CE_PCE_MASK
0x20802A03 8    # NV2080_CTRL_CMD_CE_GET_CAPS_V2
0x20802A07 8    # NV2080_CTRL_CMD_CE_GET_PHYSICAL_CAPS
0x20802A08 4    # NV2080_CTRL_CMD_CE_GET_FAULT_METHOD_BUFFER_SIZE
0x20802A09 132    # NV2080_CTRL_CMD_CE_GET_HUB_PCE_MASK
0x20802A0A 136    # NV2080_CTRL_CMD_CE_GET_ALL_CAPS
0x20802A0B 136    # NV2080_CTRL_CMD_CE_GET_ALL_PHYSICAL_CAPS
0x20802A0C 12    # NV2080_CTRL_CMD_CE_GET_LCE_SHIM_INFO
0x20802A0E 136    # NV2080_CTRL_CMD_CE_GET_HUB_PCE_MASK_V2
0x20802A11 16    # NV2080_CTRL_CMD_CE_GET_DECOMP_LCE_MASK
0x20803001 48    # NV2080_CTRL_CMD_NVLINK_GET_NVLINK_CAPS
0x20803002 13864    # NV2080_CTRL_CMD_NVLINK_GET_NVLINK_STATUS
0x20803003 7224    # NV2080_CTRL_CMD_NVLINK_GET_ERR_INFO
0x20803004 16928    # NV2080_CTRL_CMD_NVLINK_GET_COUNTERS
0x20803009 80    # NV2080_CTRL_CMD_NVLINK_GET_LINK_FATAL_ERROR_COUNTS
0x20803011 16    # NV2080_CTRL_CMD_NVLINK_GET_LINK_FOM_VALUES
0x20803014 3608    # NV2080_CTRL_CMD_NVLINK_GET_NVLINK_ECC_ERRORS
0x20803015 2080    # NV2080_CTRL_CMD_NVLINK_READ_TP_COUNTERS
0x20803018 72    # NV2080_CTRL_CMD_NVLINK_GET_LP_COUNTERS
0x20803028 216    # NV2080_CTRL_CMD_NVLINK_GET_REFRESH_COUNTERS
0x20803039 176    # NV2080_CTRL_CMD_NVLINK_SYNC_LINK_MASKS_AND_VBIOS_INFO
0x2080303D 5124    # NV2080_CTRL_CMD_READ_NVLINK_INBAND_RESPONSE
0x2080303F 12    # NV2080_CTRL_CMD_NVLINK_GET_L1_THRESHOLD
0x20803050 28712    # NV2080_CTRL_CMD_NVLINK_GET_COUNTERS_V2
0x20803074 16    # NV2080_CTRL_CMD_NVLINK_GET_SUPPORTED_COUNTERS
0x20803083 39    # NV2080_CTRL_CMD_NVLINK_GET_PLATFORM_INFO
0x20803085 48    # NV2080_CTRL_CMD_NVLINK_GET_SUPPORTED_BW_MODE
0x20803087 2    # NV2080_CTRL_CMD_NVLINK_GET_BW_MODE
0x20803088 56    # NV2080_CTRL_CMD_NVLINK_GET_LOCAL_DEVICE_INFO
0x2080308B 2    # NV2080_CTRL_CMD_NVLINK_GET_NVLE_ENCRYPT_EN_INFO
0x2080308F 536    # NV2080_CTRL_CMD_NVLINK_GET_L1_TOGGLE
0x2080309B 64    # NV2080_CTRL_CMD_NVLINK_GET_SAVED_NODE_HOSTNAME
0x2080309E 260    # NV2080_CTRL_CMD_NVLINK_GET_REMAP_TABLE_INFO
0x2080309F 2064    # NV2080_CTRL_CMD_NVLINK_GET_NVLE_PKT_COUNTERS
0x208030A1 1036    # NV2080_CTRL_CMD_NVLINK_GET_REMAP_TABLE_INFO_V2
0x20803101 12    # NV2080_CTRL_CMD_FLCN_GET_DMEM_USAGE
0x20803118 8    # NV2080_CTRL_CMD_FLCN_GET_ENGINE_ARCH
0x20803120 24    # NV2080_CTRL_CMD_FLCN_USTREAMER_QUEUE_INFO
0x20803122 44    # NV2080_CTRL_CMD_FLCN_USTREAMER_CONTROL_GET
0x20803124 80    # NV2080_CTRL_CMD_FLCN_GET_CTX_BUFFER_INFO
0x20803125 16    # NV2080_CTRL_CMD_FLCN_GET_CTX_BUFFER_SIZE
0x20803400 96    # NV2080_CTRL_CMD_ECC_GET_CLIENT_EXPOSED_COUNTERS
0x20803401 40    # NV2080_CTRL_CMD_ECC_GET_VOLATILE_COUNTS
